ID_alt	themeLabel_alt	themeLabel_neu	ID_neu
http://zora.uni-trier.de:11000/entity/Q2851	difformité	difformité	http://data.mimotext.uni-trier.de/entity/Q2870
http://zora.uni-trier.de:11000/entity/Q2852	dilettantisme	dilettantisme	http://data.mimotext.uni-trier.de/entity/Q2871
http://zora.uni-trier.de:11000/entity/Q2853	domestique	domestique	http://data.mimotext.uni-trier.de/entity/Q2872
http://zora.uni-trier.de:11000/entity/Q2854	drame	drame	http://data.mimotext.uni-trier.de/entity/Q2873
http://zora.uni-trier.de:11000/entity/Q2855	droit	droit	http://data.mimotext.uni-trier.de/entity/Q2874
http://zora.uni-trier.de:11000/entity/Q2856	droit naturel	droit naturel	http://data.mimotext.uni-trier.de/entity/Q2875
http://zora.uni-trier.de:11000/entity/Q2857	droit public	droit public	http://data.mimotext.uni-trier.de/entity/Q2876
http://zora.uni-trier.de:11000/entity/Q2858	droits de l'homme	droits de l'homme	http://data.mimotext.uni-trier.de/entity/Q2877
http://zora.uni-trier.de:11000/entity/Q2859	dystopie	dystopie	http://data.mimotext.uni-trier.de/entity/Q2878
http://zora.uni-trier.de:11000/entity/Q2860	éclectisme	éclectisme	http://data.mimotext.uni-trier.de/entity/Q2879
http://zora.uni-trier.de:11000/entity/Q2861	économie	économie	http://data.mimotext.uni-trier.de/entity/Q2880
http://zora.uni-trier.de:11000/entity/Q2862	écriture	écriture	http://data.mimotext.uni-trier.de/entity/Q2881
http://zora.uni-trier.de:11000/entity/Q2863	éducation	éducation	http://data.mimotext.uni-trier.de/entity/Q2882
http://zora.uni-trier.de:11000/entity/Q2864	égalité	égalité	http://data.mimotext.uni-trier.de/entity/Q2883
http://zora.uni-trier.de:11000/entity/Q2865	égoïsme	égoïsme	http://data.mimotext.uni-trier.de/entity/Q2884
http://zora.uni-trier.de:11000/entity/Q2866	égyptomanie	égyptomanie	http://data.mimotext.uni-trier.de/entity/Q2885
http://zora.uni-trier.de:11000/entity/Q2867	électricité	électricité	http://data.mimotext.uni-trier.de/entity/Q2886
http://zora.uni-trier.de:11000/entity/Q2868	éloquence	éloquence	http://data.mimotext.uni-trier.de/entity/Q2887
http://zora.uni-trier.de:11000/entity/Q2869	empirisme	empirisme	http://data.mimotext.uni-trier.de/entity/Q2888
http://zora.uni-trier.de:11000/entity/Q2870	encyclopédie	encyclopédie	http://data.mimotext.uni-trier.de/entity/Q2889
http://zora.uni-trier.de:11000/entity/Q2871	énergie	énergie	http://data.mimotext.uni-trier.de/entity/Q2890
http://zora.uni-trier.de:11000/entity/Q2872	enfance	enfance	http://data.mimotext.uni-trier.de/entity/Q2891
http://zora.uni-trier.de:11000/entity/Q2873	enthousiasme	enthousiasme	http://data.mimotext.uni-trier.de/entity/Q2892
http://zora.uni-trier.de:11000/entity/Q2874	envie	envie	http://data.mimotext.uni-trier.de/entity/Q2893
http://zora.uni-trier.de:11000/entity/Q2875	épicurisme	épicurisme	http://data.mimotext.uni-trier.de/entity/Q2894
http://zora.uni-trier.de:11000/entity/Q2876	érotisme	érotisme	http://data.mimotext.uni-trier.de/entity/Q2895
http://zora.uni-trier.de:11000/entity/Q2877	esclavage	esclavage	http://data.mimotext.uni-trier.de/entity/Q2896
http://zora.uni-trier.de:11000/entity/Q2878	espèce	espèce	http://data.mimotext.uni-trier.de/entity/Q2897
http://zora.uni-trier.de:11000/entity/Q2879	espoir	espoir	http://data.mimotext.uni-trier.de/entity/Q2898
http://zora.uni-trier.de:11000/entity/Q2880	essai	essai	http://data.mimotext.uni-trier.de/entity/Q2899
http://zora.uni-trier.de:11000/entity/Q2881	esthétique	esthétique	http://data.mimotext.uni-trier.de/entity/Q2900
http://zora.uni-trier.de:11000/entity/Q2882	État	état	http://data.mimotext.uni-trier.de/entity/Q2901
http://zora.uni-trier.de:11000/entity/Q2883	état de nature	état de nature	http://data.mimotext.uni-trier.de/entity/Q2902
http://zora.uni-trier.de:11000/entity/Q10	être humain	être humain	http://data.mimotext.uni-trier.de/entity/Q2903
http://zora.uni-trier.de:11000/entity/Q2884	exotisme	exotisme	http://data.mimotext.uni-trier.de/entity/Q2904
http://zora.uni-trier.de:11000/entity/Q2885	expérience	expérience	http://data.mimotext.uni-trier.de/entity/Q2905
http://zora.uni-trier.de:11000/entity/Q2886	fable	fable	http://data.mimotext.uni-trier.de/entity/Q2906
http://zora.uni-trier.de:11000/entity/Q2887	famille	famille	http://data.mimotext.uni-trier.de/entity/Q2907
http://zora.uni-trier.de:11000/entity/Q2888	fanatisme	fanatisme	http://data.mimotext.uni-trier.de/entity/Q2908
